timestamp,attackerId,fakePosX,fakePosY
18.3,6,826.4,609.8
18.4,6,827.2,610.4
18.5,6,828,611
18.6,6,828.8,611.6
18.7,6,829.6,612.2
18.8,6,830.4,612.8
18.9,6,831.2,613.4
19,6,832,614
19.1,6,832.8,614.6
19.2,6,833.6,615.2
19.3,6,834.4,615.8
19.4,6,835.2,616.4
19.5,6,836,617
19.6,6,836.8,617.6
19.7,6,837.6,618.2
19.8,6,838.4,618.8
19.9,6,839.2,619.4
20,6,attack_started,falsification
20,6,840,620
20.1,6,840.8,620.6
20.2,6,841.6,621.2
20.3,6,842.4,621.8
20.4,6,843.2,622.4
20.5,6,844,623
20.6,6,844.8,623.6
20.7,6,845.6,624.2
20.8,6,846.4,624.8
20.9,6,847.2,625.4
21,6,848,626
21.1,6,848.8,626.6
21.2,6,849.6,627.2
21.3,6,850.4,627.8
21.4,6,851.2,628.4
21.5,6,852,629
21.6,6,852.8,629.6
21.7,6,853.6,630.2
21.8,6,854.4,630.8
21.9,6,855.2,631.4
22,6,856,632
22.1,6,856.8,632.6
22.2,6,857.6,633.2
22.3,6,858.4,633.8
22.4,6,859.2,634.4
22.5,6,860,635
22.6,6,860.8,635.6
22.7,6,861.6,636.2
22.8,6,862.4,636.8
22.9,6,863.2,637.4
23,6,864,638
23.1,6,864.8,638.6
23.2,6,865.6,639.2
23.3,6,866.4,639.8
23.4,6,867.2,640.4
23.5,6,868,641
23.6,6,868.8,641.6
23.7,6,869.6,642.2
23.8,6,870.4,642.8
23.9,6,871.2,643.4
24,6,872,644
24.1,6,872.8,644.6
24.2,6,873.6,645.2
24.3,6,874.4,645.8
24.4,6,875.2,646.4
24.5,6,876,647
24.6,6,876.8,647.6
24.7,6,877.6,648.2
24.8,6,878.4,648.8
24.9,6,879.2,649.4
25,6,880,650
25.1,6,880.8,650.6
25.2,6,881.6,651.2
25.3,6,882.4,651.8
25.4,6,883.2,652.4
25.5,6,884,653
25.6,6,884.8,653.6
25.7,6,885.6,654.2
25.8,6,886.4,654.8
25.9,6,887.2,655.4
26,6,888,656
26.1,6,888.8,656.6
26.2,6,889.6,657.2
26.3,6,890.4,657.8
26.4,6,891.2,658.4
26.5,6,892,659
26.6,6,892.8,659.6
26.7,6,893.6,660.2
26.8,6,894.4,660.8
26.9,6,895.2,661.4
27,6,896,662
27.1,6,896.8,662.6
27.2,6,897.6,663.2
27.3,6,898.4,663.8
27.4,6,899.2,664.4
27.5,6,900,665
27.6,6,900.8,665.6
27.7,6,901.6,666.2
27.8,6,902.4,666.8
27.9,6,903.2,667.4
28,6,904,668
28.1,6,904.8,668.6
28.2,6,905.6,669.2
28.3,6,906.4,669.8
28.4,6,907.2,670.4
28.5,6,908,671
28.6,6,908.8,671.6
28.7,6,909.6,672.2
28.8,6,910.4,672.8
28.9,6,911.2,673.4
29,6,912,674
29.1,6,912.8,674.6
29.2,6,913.6,675.2
29.3,6,914.4,675.8
29.4,6,915.2,676.4
29.5,6,916,677
29.6,6,916.8,677.6
29.7,6,917.6,678.2
29.8,6,918.4,678.8
29.9,6,919.2,679.4
