timestamp,fakeId,attackerId,posX,posY
10.1,2005,2,211,110.6
10.2,2001,2,172,71.2
10.2,2002,2,182,81.2
10.2,2003,2,192,91.2
10.2,2004,2,202,101.2
10.2,2005,2,212,111.2
10.3,2001,2,173,71.8
10.3,2002,2,183,81.8
10.3,2003,2,193,91.8
10.3,2004,2,203,101.8
10.3,2005,2,213,111.8
10.4,2001,2,174,72.4
10.4,2002,2,184,82.4
10.4,2003,2,194,92.4
10.4,2004,2,204,102.4
10.4,2005,2,214,112.4
10.5,2001,2,175,73
10.5,2002,2,185,83
10.5,2003,2,195,93
10.5,2004,2,205,103
10.5,2005,2,215,113
10.6,2001,2,176,73.6
10.6,2002,2,186,83.6
10.6,2003,2,196,93.6
10.6,2004,2,206,103.6
10.6,2005,2,216,113.6
10.7,2001,2,177,74.2
10.7,2002,2,187,84.2
10.7,2003,2,197,94.2
10.7,2004,2,207,104.2
10.7,2005,2,217,114.2
10.8,2001,2,178,74.8
10.8,2002,2,188,84.8
10.8,2003,2,198,94.8
10.8,2004,2,208,104.8
10.8,2005,2,218,114.8
10.9,2001,2,179,75.4
10.9,2002,2,189,85.4
10.9,2003,2,199,95.4
10.9,2004,2,209,105.4
10.9,2005,2,219,115.4
11,2,attack_started,sybil
11,2001,2,180,76
11,2002,2,190,86
11,2003,2,200,96
11,2004,2,210,106
11,2005,2,220,116
11.1,2001,2,181,76.6
11.1,2002,2,191,86.6
11.1,2003,2,201,96.6
11.1,2004,2,211,106.6
11.1,2005,2,221,116.6
11.2,2001,2,182,77.2
11.2,2002,2,192,87.2
11.2,2003,2,202,97.2
11.2,2004,2,212,107.2
11.2,2005,2,222,117.2
11.3,2001,2,183,77.8
11.3,2002,2,193,87.8
11.3,2003,2,203,97.8
11.3,2004,2,213,107.8
11.3,2005,2,223,117.8
11.4,2001,2,184,78.4
11.4,2002,2,194,88.4
11.4,2003,2,204,98.4
11.4,2004,2,214,108.4
11.4,2005,2,224,118.4
11.5,2001,2,185,79
11.5,2002,2,195,89
11.5,2003,2,205,99
11.5,2004,2,215,109
11.5,2005,2,225,119
11.6,2001,2,186,79.6
11.6,2002,2,196,89.6
11.6,2003,2,206,99.6
11.6,2004,2,216,109.6
11.6,2005,2,226,119.6
11.7,2001,2,187,80.2
11.7,2002,2,197,90.2
11.7,2003,2,207,100.2
11.7,2004,2,217,110.2
11.7,2005,2,227,120.2
11.8,2001,2,188,80.8
11.8,2002,2,198,90.8
11.8,2003,2,208,100.8
11.8,2004,2,218,110.8
11.8,2005,2,228,120.8
11.9,2001,2,189,81.4
11.9,2002,2,199,91.4
11.9,2003,2,209,101.4
11.9,2004,2,219,111.4
11.9,2005,2,229,121.4
12,2001,2,190,82
12,2002,2,200,92
12,2003,2,210,102
12,2004,2,220,112
12,2005,2,230,122
12.1,2001,2,191,82.6
12.1,2002,2,201,92.6
12.1,2003,2,211,102.6
12.1,2004,2,221,112.6
12.1,2005,2,231,122.6
12.2,2001,2,192,83.2
12.2,2002,2,202,93.2
12.2,2003,2,212,103.2
12.2,2004,2,222,113.2
12.2,2005,2,232,123.2
12.3,2001,2,193,83.8
12.3,2002,2,203,93.8
12.3,2003,2,213,103.8
12.3,2004,2,223,113.8
12.3,2005,2,233,123.8
12.4,2001,2,194,84.4
12.4,2002,2,204,94.4
12.4,2003,2,214,104.4
12.4,2004,2,224,114.4
12.4,2005,2,234,124.4
12.5,2001,2,195,85
12.5,2002,2,205,95
12.5,2003,2,215,105
12.5,2004,2,225,115
12.5,2005,2,235,125
12.6,2001,2,196,85.6
12.6,2002,2,206,95.6
12.6,2003,2,216,105.6
12.6,2004,2,226,115.6
12.6,2005,2,236,125.6
12.7,2001,2,197,86.2
12.7,2002,2,207,96.2
12.7,2003,2,217,106.2
12.7,2004,2,227,116.2
12.7,2005,2,237,126.2
12.8,2001,2,198,86.8
12.8,2002,2,208,96.8
12.8,2003,2,218,106.8
12.8,2004,2,228,116.8
12.8,2005,2,238,126.8
12.9,2001,2,199,87.4
12.9,2002,2,209,97.4
12.9,2003,2,219,107.4
12.9,2004,2,229,117.4
12.9,2005,2,239,127.4
13,2001,2,200,88
13,2002,2,210,98
13,2003,2,220,108
13,2004,2,230,118
13,2005,2,240,128
13.1,2001,2,201,88.6
13.1,2002,2,211,98.6
13.1,2003,2,221,108.6
13.1,2004,2,231,118.6
13.1,2005,2,241,128.6
13.2,2001,2,202,89.2
13.2,2002,2,212,99.2
13.2,2003,2,222,109.2
13.2,2004,2,232,119.2
13.2,2005,2,242,129.2
13.3,2001,2,203,89.8
13.3,2002,2,213,99.8
13.3,2003,2,223,109.8
13.3,2004,2,233,119.8
13.3,2005,2,243,129.8
13.4,2001,2,204,90.4
13.4,2002,2,214,100.4
13.4,2003,2,224,110.4
13.4,2004,2,234,120.4
13.4,2005,2,244,130.4
13.5,2001,2,205,91
13.5,2002,2,215,101
13.5,2003,2,225,111
13.5,2004,2,235,121
13.5,2005,2,245,131
13.6,2001,2,206,91.6
13.6,2002,2,216,101.6
13.6,2003,2,226,111.6
13.6,2004,2,236,121.6
13.6,2005,2,246,131.6
13.7,2001,2,207,92.2
13.7,2002,2,217,102.2
13.7,2003,2,227,112.2
13.7,2004,2,237,122.2
13.7,2005,2,247,132.2
13.8,2001,2,208,92.8
13.8,2002,2,218,102.8
13.8,2003,2,228,112.8
13.8,2004,2,238,122.8
13.8,2005,2,248,132.8
13.9,2001,2,209,93.4
13.9,2002,2,219,103.4
13.9,2003,2,229,113.4
13.9,2004,2,239,123.4
13.9,2005,2,249,133.4
14,2001,2,210,94
14,2002,2,220,104
14,2003,2,230,114
14,2004,2,240,124
14,2005,2,250,134
14.1,2001,2,211,94.6
14.1,2002,2,221,104.6
14.1,2003,2,231,114.6
14.1,2004,2,241,124.6
14.1,2005,2,251,134.6
14.2,2001,2,212,95.2
14.2,2002,2,222,105.2
14.2,2003,2,232,115.2
14.2,2004,2,242,125.2
14.2,2005,2,252,135.2
14.3,2001,2,213,95.8
14.3,2002,2,223,105.8
14.3,2003,2,233,115.8
14.3,2004,2,243,125.8
14.3,2005,2,253,135.8
14.4,2001,2,214,96.4
14.4,2002,2,224,106.4
14.4,2003,2,234,116.4
14.4,2004,2,244,126.4
14.4,2005,2,254,136.4
14.5,2001,2,215,97
14.5,2002,2,225,107
14.5,2003,2,235,117
14.5,2004,2,245,127
14.5,2005,2,255,137
14.6,2001,2,216,97.6
14.6,2002,2,226,107.6
14.6,2003,2,236,117.6
14.6,2004,2,246,127.6
14.6,2005,2,256,137.6
14.7,2001,2,217,98.2
14.7,2002,2,227,108.2
14.7,2003,2,237,118.2
14.7,2004,2,247,128.2
14.7,2005,2,257,138.2
14.8,2001,2,218,98.8
14.8,2002,2,228,108.8
14.8,2003,2,238,118.8
14.8,2004,2,248,128.8
14.8,2005,2,258,138.8
14.9,2001,2,219,99.4
14.9,2002,2,229,109.4
14.9,2003,2,239,119.4
14.9,2004,2,249,129.4
14.9,2005,2,259,139.4
15,2001,2,220,100
15,2002,2,230,110
15,2003,2,240,120
15,2004,2,250,130
15,2005,2,260,140
15.1,2001,2,221,100.6
15.1,2002,2,231,110.6
15.1,2003,2,241,120.6
15.1,2004,2,251,130.6
15.1,2005,2,261,140.6
15.2,2001,2,222,101.2
15.2,2002,2,232,111.2
15.2,2003,2,242,121.2
15.2,2004,2,252,131.2
15.2,2005,2,262,141.2
15.3,2001,2,223,101.8
15.3,2002,2,233,111.8
15.3,2003,2,243,121.8
15.3,2004,2,253,131.8
15.3,2005,2,263,141.8
15.4,2001,2,224,102.4
15.4,2002,2,234,112.4
15.4,2003,2,244,122.4
15.4,2004,2,254,132.4
15.4,2005,2,264,142.4
15.5,2001,2,225,103
15.5,2002,2,235,113
15.5,2003,2,245,123
15.5,2004,2,255,133
15.5,2005,2,265,143
15.6,2001,2,226,103.6
15.6,2002,2,236,113.6
15.6,2003,2,246,123.6
15.6,2004,2,256,133.6
15.6,2005,2,266,143.6
15.7,2001,2,227,104.2
15.7,2002,2,237,114.2
15.7,2003,2,247,124.2
15.7,2004,2,257,134.2
15.7,2005,2,267,144.2
15.8,2001,2,228,104.8
15.8,2002,2,238,114.8
15.8,2003,2,248,124.8
15.8,2004,2,258,134.8
15.8,2005,2,268,144.8
15.9,2001,2,229,105.4
15.9,2002,2,239,115.4
15.9,2003,2,249,125.4
15.9,2004,2,259,135.4
15.9,2005,2,269,145.4
16,2001,2,230,106
16,2002,2,240,116
16,2003,2,250,126
16,2004,2,260,136
16,2005,2,270,146
16.1,2001,2,231,106.6
16.1,2002,2,241,116.6
16.1,2003,2,251,126.6
16.1,2004,2,261,136.6
16.1,2005,2,271,146.6
16.2,2001,2,232,107.2
16.2,2002,2,242,117.2
16.2,2003,2,252,127.2
16.2,2004,2,262,137.2
16.2,2005,2,272,147.2
16.3,2001,2,233,107.8
16.3,2002,2,243,117.8
16.3,2003,2,253,127.8
16.3,2004,2,263,137.8
16.3,2005,2,273,147.8
16.4,2001,2,234,108.4
16.4,2002,2,244,118.4
16.4,2003,2,254,128.4
16.4,2004,2,264,138.4
16.4,2005,2,274,148.4
16.5,2001,2,235,109
16.5,2002,2,245,119
16.5,2003,2,255,129
16.5,2004,2,265,139
16.5,2005,2,275,149
16.6,2001,2,236,109.6
16.6,2002,2,246,119.6
16.6,2003,2,256,129.6
16.6,2004,2,266,139.6
16.6,2005,2,276,149.6
16.7,2001,2,237,110.2
16.7,2002,2,247,120.2
16.7,2003,2,257,130.2
16.7,2004,2,267,140.2
16.7,2005,2,277,150.2
16.8,2001,2,238,110.8
16.8,2002,2,248,120.8
16.8,2003,2,258,130.8
16.8,2004,2,268,140.8
16.8,2005,2,278,150.8
16.9,2001,2,239,111.4
16.9,2002,2,249,121.4
16.9,2003,2,259,131.4
16.9,2004,2,269,141.4
16.9,2005,2,279,151.4
17,2001,2,240,112
17,2002,2,250,122
17,2003,2,260,132
17,2004,2,270,142
17,2005,2,280,152
17.1,2001,2,241,112.6
17.1,2002,2,251,122.6
17.1,2003,2,261,132.6
17.1,2004,2,271,142.6
17.1,2005,2,281,152.6
17.2,2001,2,242,113.2
17.2,2002,2,252,123.2
17.2,2003,2,262,133.2
17.2,2004,2,272,143.2
17.2,2005,2,282,153.2
17.3,2001,2,243,113.8
17.3,2002,2,253,123.8
17.3,2003,2,263,133.8
17.3,2004,2,273,143.8
17.3,2005,2,283,153.8
17.4,2001,2,244,114.4
17.4,2002,2,254,124.4
17.4,2003,2,264,134.4
17.4,2004,2,274,144.4
17.4,2005,2,284,154.4
17.5,2001,2,245,115
17.5,2002,2,255,125
17.5,2003,2,265,135
17.5,2004,2,275,145
17.5,2005,2,285,155
17.6,2001,2,246,115.6
17.6,2002,2,256,125.6
17.6,2003,2,266,135.6
17.6,2004,2,276,145.6
17.6,2005,2,286,155.6
17.7,2001,2,247,116.2
17.7,2002,2,257,126.2
17.7,2003,2,267,136.2
17.7,2004,2,277,146.2
17.7,2005,2,287,156.2
17.8,2001,2,248,116.8
17.8,2002,2,258,126.8
17.8,2003,2,268,136.8
17.8,2004,2,278,146.8
17.8,2005,2,288,156.8
17.9,2001,2,249,117.4
17.9,2002,2,259,127.4
17.9,2003,2,269,137.4
17.9,2004,2,279,147.4
17.9,2005,2,289,157.4
18,2,attack_started,sybil
18,2001,2,250,118
18,2002,2,260,128
18,2003,2,270,138
18,2004,2,280,148
18,2005,2,290,158
18.1,2001,2,251,118.6
18.1,2002,2,261,128.6
