timestamp,nodeId,neighborCount,minDistance
5.6,125,6,172.658
5.6,126,6,1.44101
5.6,127,5,50.7467
5.6,128,7,147.262
5.6,129,3,72.5593
5.6,130,5,43.6289
5.6,131,6,1.79805
5.8,0,4,105.219
5.8,1,2,1.44003
5.8,2,7,36.881
5.8,3,8,25.2548
5.8,4,5,107.52
5.8,5,7,93.5823
5.8,6,5,156.74
5.8,7,8,132.288
5.8,8,2,51.0006
5.8,9,2,132.134
5.8,10,3,1.36682
5.8,11,2,1.35695
5.8,12,4,18.2263
5.8,13,4,48.5988
5.8,14,4,118.439
5.8,15,5,77.6631
5.8,16,4,19.0349
5.8,17,5,21.4699
5.8,18,3,93.392
5.8,19,1,0.310161
5.8,20,2,1.44003
5.8,21,4,3.38492
5.8,22,2,3.32728
5.8,23,8,42.0313
5.8,24,1,188.198
5.8,25,2,25.8931
5.8,26,4,145.109
5.8,27,4,4.10844
5.8,28,3,2.78442
5.8,29,4,65.6021
5.8,30,4,184.811
5.8,31,6,77.6631
5.8,32,5,129.986
5.8,33,2,25.8931
5.8,34,2,31.6699
5.8,35,5,176.588
5.8,36,4,3.38492
5.8,37,4,12.8411
5.8,38,4,4.10844
5.8,39,8,36.477
5.8,40,0,318.522
5.8,41,3,9.57056
5.8,42,5,30.1514
5.8,43,2,31.6699
5.8,44,3,1.35473
5.8,45,0,410.079
5.8,46,6,30.1514
5.8,47,6,85.8459
5.8,48,1,225.878
5.8,49,4,3.23543
5.8,50,7,122.117
5.8,51,6,1.69532
5.8,52,4,18.1365
5.8,53,5,21.4699
5.8,54,3,3.32555
5.8,55,1,86.3256
5.8,56,1,4.09766
5.8,57,3,23.2549
5.8,58,6,93.5823
5.8,59,3,1.36682
5.8,60,2,3.32728
5.8,61,5,100.935
5.8,62,1,4.09766
5.8,63,4,18.2263
5.8,64,2,4.17164
5.8,65,4,18.1365
5.8,66,0,480.876
5.8,67,4,12.8411
5.8,68,8,49.0729
5.8,69,6,1.69532
5.8,70,5,2.77418
5.8,71,4,28.322
5.8,72,4,19.0349
5.8,73,3,2.46173
5.8,74,7,43.2732
5.8,75,10,36.477
5.8,76,0,352.78
5.8,77,6,132.788
5.8,78,4,28.322
5.8,79,10,19.18
5.8,80,8,1.73072
5.8,81,1,0.310161
5.8,82,2,224.324
5.8,83,7,85.8459
5.8,84,5,2.77418
5.8,85,3,93.392
5.8,86,4,125.812
5.8,87,5,89.1215
5.8,88,6,1.44101
5.8,89,5,61.1801
5.8,90,1,224.008
5.8,91,8,98.6634
5.8,92,4,48.9402
5.8,93,4,34.6752
5.8,94,0,352.78
5.8,95,3,1.35473
5.8,96,5,43.6289
5.8,97,8,1.73072
5.8,98,2,5.49401
5.8,99,2,191.504
5.8,100,1,224.008
5.8,101,0,271.022
5.8,102,5,108.179
5.8,103,4,175.153
5.8,104,3,2.46173
5.8,105,4,3.23543
5.8,106,2,4.17164
5.8,107,2,210.651
5.8,108,4,34.6752
5.8,109,5,54.5065
5.8,110,2,1.35695
5.8,111,4,99.0557
5.8,112,8,3.98935
5.8,113,3,23.2549
5.8,114,3,132.788
5.8,115,5,54.5065
5.8,116,1,86.3256
5.8,117,10,45.5991
5.8,118,2,5.49401
5.8,119,3,172.755
5.8,120,3,6.12719
