nodeId,message,rssi
72,BSM,0,8,6,8,6,1,-1
37,BSM,0,8,6,8,6,1,-1
73,BSM,0,8,6,8,6,1,-1
56,BSM,0,8,6,8,6,1,-1
65,BSM,0,8,6,8,6,1,-1
80,BSM,0,8,6,8,6,1,-1
8,BSM,0,8,6,8,6,1,-1
18,BSM,0,8,6,8,6,1,-1
74,BSM,0,8,6,8,6,1,-1
81,BSM,0,8,6,8,6,1,-1
47,BSM,0,8,6,8,6,1,-1
82,BSM,0,8,6,8,6,1,-1
28,BSM,0,8,6,8,6,1,-1
66,BSM,0,8,6,8,6,1,-1
83,BSM,0,8,6,8,6,1,-1
38,BSM,0,8,6,8,6,1,-1
57,BSM,0,8,6,8,6,1,-1
75,BSM,0,8,6,8,6,1,-1
48,BSM,0,8,6,8,6,1,-1
84,BSM,0,8,6,8,6,1,-1
9,BSM,0,8,6,8,6,1,-1
90,BSM,0,8,6,8,6,1,-1
19,BSM,0,8,6,8,6,1,-1
91,BSM,0,8,6,8,6,1,-1
92,BSM,0,8,6,8,6,1,-1
76,BSM,0,8,6,8,6,1,-1
67,BSM,0,8,6,8,6,1,-1
29,BSM,0,8,6,8,6,1,-1
58,BSM,0,8,6,8,6,1,-1
85,BSM,0,8,6,8,6,1,-1
39,BSM,0,8,6,8,6,1,-1
93,BSM,0,8,6,8,6,1,-1
94,BSM,0,8,6,8,6,1,-1
49,BSM,0,8,6,8,6,1,-1
77,BSM,0,8,6,8,6,1,-1
100,BSM,0,8,6,8,6,1,-1
86,BSM,0,8,6,8,6,1,-1
68,BSM,0,8,6,8,6,1,-1
101,BSM,0,8,6,8,6,1,-1
102,BSM,0,8,6,8,6,1,-1
95,BSM,0,8,6,8,6,1,-1
59,BSM,0,8,6,8,6,1,-1
103,BSM,0,8,6,8,6,1,-1
78,BSM,0,8,6,8,6,1,-1
87,BSM,0,8,6,8,6,1,-1
104,BSM,0,8,6,8,6,1,-1
96,BSM,0,8,6,8,6,1,-1
69,BSM,0,8,6,8,6,1,-1
110,BSM,0,8,6,8,6,1,-1
111,BSM,0,8,6,8,6,1,-1
112,BSM,0,8,6,8,6,1,-1
105,BSM,0,8,6,8,6,1,-1
88,BSM,0,8,6,8,6,1,-1
79,BSM,0,8,6,8,6,1,-1
97,BSM,0,8,6,8,6,1,-1
113,BSM,0,8,6,8,6,1,-1
106,BSM,0,8,6,8,6,1,-1
114,BSM,0,8,6,8,6,1,-1
120,BSM,0,8,6,8,6,1,-1
98,BSM,0,8,6,8,6,1,-1
121,BSM,0,8,6,8,6,1,-1
89,BSM,0,8,6,8,6,1,-1
115,BSM,0,8,6,8,6,1,-1
122,BSM,0,8,6,8,6,1,-1
107,BSM,0,8,6,8,6,1,-1
123,BSM,0,8,6,8,6,1,-1
116,BSM,0,8,6,8,6,1,-1
124,BSM,0,8,6,8,6,1,-1
99,BSM,0,8,6,8,6,1,-1
108,BSM,0,8,6,8,6,1,-1
130,BSM,0,8,6,8,6,1,-1
125,BSM,0,8,6,8,6,1,-1
117,BSM,0,8,6,8,6,1,-1
131,BSM,0,8,6,8,6,1,-1
126,BSM,0,8,6,8,6,1,-1
109,BSM,0,8,6,8,6,1,-1
118,BSM,0,8,6,8,6,1,-1
127,BSM,0,8,6,8,6,1,-1
119,BSM,0,8,6,8,6,1,-1
128,BSM,0,8,6,8,6,1,-1
129,BSM,0,8,6,8,6,1,-1
