timestamp,nodeId,attackType,detectionScore
21.7,6,hybrid_detection,trust_score=0
21.9,0,hybrid_detection,trust_score=0
21.9,2,hybrid_detection,trust_score=0
21.9,4,hybrid_detection,trust_score=0
21.9,6,hybrid_detection,trust_score=0
22,0,ml_anomaly,146
22,2,ml_anomaly,146
22,4,ml_anomaly,146
22,6,ml_anomaly,146
22.1,0,hybrid_detection,trust_score=0
22.1,2,hybrid_detection,trust_score=0
22.1,4,hybrid_detection,trust_score=0
22.1,6,hybrid_detection,trust_score=0
22.3,0,hybrid_detection,trust_score=0
22.3,2,hybrid_detection,trust_score=0
22.3,4,hybrid_detection,trust_score=0
22.3,6,hybrid_detection,trust_score=0
22.5,0,ml_anomaly,149
22.5,2,ml_anomaly,149
22.5,4,ml_anomaly,149
22.5,6,ml_anomaly,149
22.5,0,hybrid_detection,trust_score=0
22.5,2,hybrid_detection,trust_score=0
22.5,4,hybrid_detection,trust_score=0
22.5,6,hybrid_detection,trust_score=0
22.7,0,hybrid_detection,trust_score=0
22.7,2,hybrid_detection,trust_score=0
22.7,4,hybrid_detection,trust_score=0
22.7,6,hybrid_detection,trust_score=0
22.9,0,hybrid_detection,trust_score=0
22.9,2,hybrid_detection,trust_score=0
22.9,4,hybrid_detection,trust_score=0
22.9,6,hybrid_detection,trust_score=0
23,0,ml_anomaly,153
23,2,ml_anomaly,153
23,4,ml_anomaly,153
23,6,ml_anomaly,153
23.1,0,hybrid_detection,trust_score=0
23.1,2,hybrid_detection,trust_score=0
23.1,4,hybrid_detection,trust_score=0
23.1,6,hybrid_detection,trust_score=0
23.3,0,hybrid_detection,trust_score=0
23.3,2,hybrid_detection,trust_score=0
23.3,4,hybrid_detection,trust_score=0
23.3,6,hybrid_detection,trust_score=0
23.5,0,ml_anomaly,156
23.5,2,ml_anomaly,156
23.5,4,ml_anomaly,156
23.5,6,ml_anomaly,156
23.5,0,hybrid_detection,trust_score=0
23.5,2,hybrid_detection,trust_score=0
23.5,4,hybrid_detection,trust_score=0
23.5,6,hybrid_detection,trust_score=0
23.7,0,hybrid_detection,trust_score=0
23.7,2,hybrid_detection,trust_score=0
23.7,4,hybrid_detection,trust_score=0
23.7,6,hybrid_detection,trust_score=0
23.9,0,hybrid_detection,trust_score=0
23.9,2,hybrid_detection,trust_score=0
23.9,4,hybrid_detection,trust_score=0
23.9,6,hybrid_detection,trust_score=0
24,0,ml_anomaly,160
24,2,ml_anomaly,160
24,4,ml_anomaly,160
24,6,ml_anomaly,160
24.1,0,hybrid_detection,trust_score=0
24.1,2,hybrid_detection,trust_score=0
24.1,4,hybrid_detection,trust_score=0
24.1,6,hybrid_detection,trust_score=0
24.3,0,hybrid_detection,trust_score=0
24.3,2,hybrid_detection,trust_score=0
24.3,4,hybrid_detection,trust_score=0
24.3,6,hybrid_detection,trust_score=0
24.5,0,ml_anomaly,163
24.5,2,ml_anomaly,163
24.5,4,ml_anomaly,163
24.5,6,ml_anomaly,163
24.5,0,hybrid_detection,trust_score=0
24.5,2,hybrid_detection,trust_score=0
24.5,4,hybrid_detection,trust_score=0
24.5,6,hybrid_detection,trust_score=0
24.7,0,hybrid_detection,trust_score=0
24.7,2,hybrid_detection,trust_score=0
24.7,4,hybrid_detection,trust_score=0
24.7,6,hybrid_detection,trust_score=0
24.9,0,hybrid_detection,trust_score=0
24.9,2,hybrid_detection,trust_score=0
24.9,4,hybrid_detection,trust_score=0
24.9,6,hybrid_detection,trust_score=0
25,0,ml_anomaly,167
25,2,ml_anomaly,167
25,4,ml_anomaly,167
25,6,ml_anomaly,167
25.1,0,hybrid_detection,trust_score=0
25.1,2,hybrid_detection,trust_score=0
25.1,4,hybrid_detection,trust_score=0
25.1,6,hybrid_detection,trust_score=0
25.3,0,hybrid_detection,trust_score=0
25.3,2,hybrid_detection,trust_score=0
25.3,4,hybrid_detection,trust_score=0
25.3,6,hybrid_detection,trust_score=0
25.5,0,ml_anomaly,170
25.5,2,ml_anomaly,170
25.5,4,ml_anomaly,170
25.5,6,ml_anomaly,170
25.5,0,hybrid_detection,trust_score=0
25.5,2,hybrid_detection,trust_score=0
25.5,4,hybrid_detection,trust_score=0
