t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
571.0,576.0,2500,50,25.0,0.0,49.0,,highway,density-50
576.0,581.0,2500,50,25.0,0.0,49.0,,highway,density-50
581.0,586.0,2500,50,25.0,0.0,49.0,,highway,density-50
586.0,591.0,2500,50,25.0,0.0,49.0,,highway,density-50
591.0,596.0,2500,50,25.0,0.0,49.0,,highway,density-50
596.0,601.0,2500,50,25.0,0.0,49.0,,highway,density-50
601.0,606.0,2500,50,25.0,0.0,49.0,,highway,density-50
606.0,611.0,2500,50,25.0,0.0,49.0,,highway,density-50
611.0,616.0,2500,50,25.0,0.0,49.0,,highway,density-50
616.0,621.0,2500,50,25.0,0.0,49.0,,highway,density-50
621.0,626.0,2500,50,25.0,0.0,49.0,,highway,density-50
626.0,631.0,2500,50,25.0,0.0,49.0,,highway,density-50
631.0,636.0,2500,50,25.0,0.0,49.0,,highway,density-50
636.0,641.0,2500,50,25.0,0.0,49.0,,highway,density-50
641.0,646.0,2500,50,25.0,0.0,49.0,,highway,density-50
646.0,651.0,2500,50,25.0,0.0,49.0,,highway,density-50
651.0,656.0,2500,50,25.0,0.0,49.0,,highway,density-50
656.0,661.0,2500,50,25.0,0.0,49.0,,highway,density-50
661.0,666.0,2500,50,25.0,0.0,49.0,,highway,density-50
666.0,671.0,2500,50,25.0,0.0,49.0,,highway,density-50
671.0,676.0,2500,50,25.0,0.0,49.0,,highway,density-50
676.0,681.0,2500,50,25.0,0.0,49.0,,highway,density-50
681.0,686.0,2500,50,25.0,0.0,49.0,,highway,density-50
686.0,691.0,2500,50,25.0,0.0,49.0,,highway,density-50
691.0,696.0,2500,50,25.0,0.0,49.0,,highway,density-50
696.0,701.0,2500,50,25.0,0.0,49.0,,highway,density-50
701.0,706.0,2500,50,25.0,0.0,49.0,,highway,density-50
706.0,711.0,2500,50,25.0,0.0,49.0,,highway,density-50
711.0,716.0,2500,50,25.0,0.0,49.0,,highway,density-50
716.0,721.0,2500,50,25.0,0.0,49.0,,highway,density-50
721.0,726.0,2500,50,25.0,0.0,49.0,,highway,density-50
726.0,731.0,2500,50,25.0,0.0,49.0,,highway,density-50
731.0,736.0,2500,50,25.0,0.0,49.0,,highway,density-50
736.0,741.0,2500,50,25.0,0.0,49.0,,highway,density-50
741.0,746.0,2500,50,25.0,0.0,49.0,,highway,density-50
746.0,751.0,2500,50,25.0,0.0,49.0,,highway,density-50
751.0,756.0,2500,50,25.0,0.0,49.0,,highway,density-50
756.0,761.0,2500,50,25.0,0.0,49.0,,highway,density-50
761.0,766.0,2500,50,25.0,0.0,49.0,,highway,density-50
