t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
5.0,10.0,1450,29,8.471661068250299,5.585345216243721,13.7744,,urban,density-50
10.0,15.0,1450,29,8.433910832791872,5.762951958501807,13.7216,,urban,density-50
15.0,20.0,1450,29,8.532354173354795,5.66960808542039,13.7456,,urban,density-50
20.0,25.0,1450,29,8.547020796740513,5.644459996037419,13.7024,,urban,density-50
25.0,30.0,1450,29,8.447413141580574,5.741903569165543,13.7056,,urban,density-50
30.0,35.0,1450,29,8.600650979782678,6.015899253284414,,,urban,density-50
35.0,40.0,1450,29,8.351563106356785,5.617124024624863,,,urban,density-50
40.0,45.0,1450,29,8.451329892391415,5.903366489872138,,,urban,density-50
45.0,50.0,1450,29,8.528480049210474,5.855615310069215,,,urban,density-50
0.0,5.0,1450,29,8.524697638636729,5.513291008725895,15.717,,urban,density-100
5.0,10.0,1450,29,8.471661068250299,5.585345216243721,15.6368,,urban,density-100
10.0,15.0,1450,29,8.433910832791872,5.762951958501807,15.5288,,urban,density-100
15.0,20.0,1450,29,8.532354173354795,5.66960808542039,15.5248,,urban,density-100
20.0,25.0,1450,29,8.547020796740513,5.644459996037419,15.476,,urban,density-100
25.0,30.0,1450,29,8.447413141580574,5.741903569165543,15.48,,urban,density-100
30.0,35.0,1450,29,8.600650979782678,6.015899253284414,,,urban,density-100
35.0,40.0,1450,29,8.351563106356785,5.617124024624863,,,urban,density-100
40.0,45.0,1450,29,8.451329892391415,5.903366489872138,,,urban,density-100
45.0,50.0,1450,29,8.528480049210474,5.855615310069215,,,urban,density-100
50.0,55.0,1450,29,8.478930763996027,5.562039219290251,,,urban,density-100
55.0,60.0,1450,29,8.694823246940693,5.925994652382742,,,urban,density-100
60.0,65.0,1450,29,8.48171237625423,5.925065139750939,,,urban,density-100
65.0,70.0,1450,29,8.46341508436486,5.50413619716621,,,urban,density-100
70.0,75.0,1450,29,8.410844959001315,5.679390508882536,,,urban,density-100
75.0,80.0,1450,29,8.482640279545118,5.65041407000675,,,urban,density-100
80.0,85.0,1450,29,8.521140427440208,5.685556548964032,,,urban,density-100
85.0,90.0,1450,29,8.457820006804448,5.5806881983165955,,,urban,density-100
90.0,95.0,1450,29,8.479448628550621,5.7987684428187185,,,urban,density-100
95.0,100.0,1450,29,8.582462145765172,5.611817208355163,,,urban,density-100
0.0,5.0,1450,29,8.524697638636729,5.513291008725895,26.224,,urban,density-150
5.0,10.0,1450,29,8.471661068250299,5.585345216243721,26.0256,,urban,density-150
10.0,15.0,1450,29,8.433910832791872,5.762951958501807,25.88693333333333,,urban,density-150
15.0,20.0,1450,29,8.532354173354795,5.66960808542039,25.88906666666667,,urban,density-150
20.0,25.0,1450,29,8.547020796740513,5.644459996037419,25.824533333333335,,urban,density-150
25.0,30.0,1450,29,8.447413141580574,5.741903569165543,25.7984,,urban,density-150
30.0,35.0,1450,29,8.600650979782678,6.015899253284414,,,urban,density-150
35.0,40.0,1450,29,8.351563106356785,5.617124024624863,,,urban,density-150
40.0,45.0,1450,29,8.451329892391415,5.903366489872138,,,urban,density-150
45.0,50.0,1450,29,8.528480049210474,5.855615310069215,,,urban,density-150
50.0,55.0,1450,29,8.478930763996027,5.562039219290251,,,urban,density-150
55.0,60.0,1450,29,8.694823246940693,5.925994652382742,,,urban,density-150
60.0,65.0,1450,29,8.48171237625423,5.925065139750939,,,urban,density-150
65.0,70.0,1450,29,8.46341508436486,5.50413619716621,,,urban,density-150
